exch_epoch,bid_1_price,bid_2_price,bid_3_price,bid_4_price,bid_5_price,bid_6_price,bid_7_price,bid_8_price,bid_9_price,bid_10_price,ask_1_price,ask_2_price,ask_3_price,ask_4_price,ask_5_price,ask_6_price,ask_7_price,ask_8_price,ask_9_price,ask_10_price,bid_1_qty,bid_2_qty,bid_3_qty,bid_4_qty,bid_5_qty,bid_6_qty,bid_7_qty,bid_8_qty,bid_9_qty,bid_10_qty,ask_1_qty,ask_2_qty,ask_3_qty,ask_4_qty,ask_5_qty,ask_6_qty,ask_7_qty,ask_8_qty,ask_9_qty,ask_10_qty
1698822301757502000,26849,26848,26847,26846,26845,26844,26843,26842,26841,26840,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,414,50,35,246,85,158,257,160,372,198,25672,90,313,80,157,162,597,157,498,357
1698822301847112000,26849,26848,26847,26846,26845,26844,26843,26842,26841,26840,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,414,50,35,246,85,158,257,160,372,198,25671,90,313,80,157,162,597,157,498,357
1698822301991301000,26849,26848,26847,26846,26845,26844,26843,26842,26841,26840,26850,26853,26854,26855,26856,26857,26858,26859,26860,26861,413,50,35,246,85,158,257,160,372,198,25671,90,313,80,157,162,597,157,498,357
1698822302223340000,26847,26846,26845,26844,26843,26842,26841,26840,26839,26838,26848,26850,26853,26854,26855,26856,26857,26858,26859,26860,35,246,85,158,257,160,372,198,357,158,3944,25671,90,313,80,157,162,597,157,498
1698822302223859000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26848,26850,26851,26853,26854,26855,26856,26857,26858,26859,246,85,158,292,160,172,198,357,158,1557,3944,25671,200,90,113,80,157,162,597,157
1698822302223881000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26848,26850,26851,26853,26854,26855,26856,26857,26858,26859,246,85,158,292,160,172,198,357,158,1557,3944,25671,200,90,113,80,357,162,597,157
1698822302223929000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26848,26850,26851,26853,26854,26855,26856,26857,26858,26859,164,85,158,292,160,172,198,357,158,1557,3944,25671,200,90,113,80,357,162,597,157
1698822302223982000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26848,26850,26851,26853,26854,26855,26856,26857,26858,26859,164,85,83,292,160,172,198,357,158,1557,3944,25709,200,165,75,162,357,162,597,157
1698822302224483000,26847,26846,26845,26844,26843,26842,26841,26840,26839,26838,26848,26850,26851,26853,26854,26855,26856,26857,26858,26859,60,164,85,83,257,195,172,198,357,158,3944,25709,200,165,75,362,157,162,597,157
1698822302224530000,26847,26846,26845,26844,26843,26842,26841,26840,26839,26838,26848,26850,26851,26853,26854,26855,26856,26857,26858,26859,60,164,85,83,257,195,172,198,157,158,3944,25709,200,165,275,362,157,162,397,157
1698822302225430000,26847,26846,26845,26844,26843,26842,26841,26840,26839,26838,26848,26850,26851,26853,26854,26855,26856,26857,26858,26859,60,164,3,83,257,195,172,198,157,158,3944,25709,200,165,275,362,157,162,397,157
1698822302226674000,26847,26846,26845,26844,26843,26842,26841,26840,26839,26838,26848,26850,26851,26853,26854,26855,26856,26857,26858,26859,60,164,3,83,257,160,172,233,157,158,3944,25709,200,165,475,162,157,162,397,157
1698822302227216000,26847,26846,26845,26844,26843,26842,26841,26840,26839,26838,26848,26850,26853,26854,26855,26856,26857,26858,26859,26860,60,164,85,83,257,160,172,233,157,158,3944,25909,165,475,162,157,162,397,157,498
